campaign_id,source_file,source_sha256,source_ordinal,sample_id,order,path,metric,metric_origin,counter_scope,counter_window,counter_representation,counter_owner,raw_value,workload_syscalls,denominator_metric,denominator_scope,denominator_window,denominator_owner,normalization_cross_scope,normalization_cross_window,raw_counter_evidence,records_examined,per_workload_syscall,per_1000_workload_syscalls,per_record_examined
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,10,indexed_then_traversal,indexed,virtio_batched_read_requests,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,0,10,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-10-qemu.serial.txt,2,0.0,0.0,0.0
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,10,indexed_then_traversal,indexed,overwrite_prereads_skipped,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,97,10,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-10-qemu.serial.txt,2,9.7,9700.0,48.5
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,11,traversal_then_indexed,traversal,bytes_read,lane_metric,workflow_lane,core,lane_reported_total,workflow_actor,7811,298,observer_workload_syscalls,observer_process,core,workflow_actor,0,0,raw/contest/sample-11-qemu.serial.txt,97,26.211409396,26211.409395973,80.525773196
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,11,traversal_then_indexed,traversal,directory_block_probes,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,3266,298,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-11-qemu.serial.txt,97,10.959731544,10959.731543624,33.670103093
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,11,traversal_then_indexed,traversal,directory_entries_examined,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,196802,298,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-11-qemu.serial.txt,97,660.409395973,660409.395973154,2028.886597938
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,11,traversal_then_indexed,traversal,physical_reads,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,150,298,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-11-qemu.serial.txt,97,0.503355705,503.355704698,1.546391753
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,11,traversal_then_indexed,traversal,physical_writes,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,211,298,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-11-qemu.serial.txt,97,0.708053691,708.053691275,2.175257732
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,11,traversal_then_indexed,traversal,durable_flushes,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,47,298,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-11-qemu.serial.txt,97,0.157718121,157.718120805,0.484536082
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,11,traversal_then_indexed,traversal,virtio_notifications,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,254,298,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-11-qemu.serial.txt,97,0.852348993,852.348993289,2.618556701
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,11,traversal_then_indexed,traversal,virtio_submitted_requests,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,408,298,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-11-qemu.serial.txt,97,1.369127517,1369.127516779,4.206185567
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,11,traversal_then_indexed,traversal,virtio_batched_read_requests,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,0,298,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-11-qemu.serial.txt,97,0.0,0.0,0.0
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,11,traversal_then_indexed,traversal,overwrite_prereads_skipped,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,97,298,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-11-qemu.serial.txt,97,0.325503356,325.503355705,1.0
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,11,traversal_then_indexed,indexed,bytes_read,lane_metric,workflow_lane,core,lane_reported_total,workflow_actor,0,10,observer_workload_syscalls,observer_process,core,workflow_actor,0,0,raw/contest/sample-11-qemu.serial.txt,2,0.0,0.0,0.0
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,11,traversal_then_indexed,indexed,directory_block_probes,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,3266,10,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-11-qemu.serial.txt,2,326.6,326600.0,1633.0
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,11,traversal_then_indexed,indexed,directory_entries_examined,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,196802,10,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-11-qemu.serial.txt,2,19680.2,19680200.0,98401.0
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,11,traversal_then_indexed,indexed,physical_reads,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,53,10,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-11-qemu.serial.txt,2,5.3,5300.0,26.5
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,11,traversal_then_indexed,indexed,physical_writes,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,227,10,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-11-qemu.serial.txt,2,22.7,22700.0,113.5
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,11,traversal_then_indexed,indexed,durable_flushes,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,48,10,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-11-qemu.serial.txt,2,4.8,4800.0,24.0
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,11,traversal_then_indexed,indexed,virtio_notifications,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,160,10,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-11-qemu.serial.txt,2,16.0,16000.0,80.0
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,11,traversal_then_indexed,indexed,virtio_submitted_requests,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,328,10,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-11-qemu.serial.txt,2,32.8,32800.0,164.0
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,11,traversal_then_indexed,indexed,virtio_batched_read_requests,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,0,10,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-11-qemu.serial.txt,2,0.0,0.0,0.0
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,11,traversal_then_indexed,indexed,overwrite_prereads_skipped,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,82,10,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-11-qemu.serial.txt,2,8.2,8200.0,41.0
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,12,indexed_then_traversal,traversal,bytes_read,lane_metric,workflow_lane,core,lane_reported_total,workflow_actor,7811,298,observer_workload_syscalls,observer_process,core,workflow_actor,0,0,raw/contest/sample-12-qemu.serial.txt,97,26.211409396,26211.409395973,80.525773196
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,12,indexed_then_traversal,traversal,directory_block_probes,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,3266,298,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-12-qemu.serial.txt,97,10.959731544,10959.731543624,33.670103093
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,12,indexed_then_traversal,traversal,directory_entries_examined,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,196802,298,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-12-qemu.serial.txt,97,660.409395973,660409.395973154,2028.886597938
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,12,indexed_then_traversal,traversal,physical_reads,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,138,298,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-12-qemu.serial.txt,97,0.463087248,463.087248322,1.422680412
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,12,indexed_then_traversal,traversal,physical_writes,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,213,298,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-12-qemu.serial.txt,97,0.714765101,714.765100671,2.195876289
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,12,indexed_then_traversal,traversal,durable_flushes,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,47,298,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-12-qemu.serial.txt,97,0.157718121,157.718120805,0.484536082
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,12,indexed_then_traversal,traversal,virtio_notifications,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,242,298,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-12-qemu.serial.txt,97,0.812080537,812.080536913,2.494845361
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,12,indexed_then_traversal,traversal,virtio_submitted_requests,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,398,298,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-12-qemu.serial.txt,97,1.33557047,1335.570469799,4.103092784
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,12,indexed_then_traversal,traversal,virtio_batched_read_requests,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,0,298,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-12-qemu.serial.txt,97,0.0,0.0,0.0
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,12,indexed_then_traversal,traversal,overwrite_prereads_skipped,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,82,298,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-12-qemu.serial.txt,97,0.275167785,275.167785235,0.845360825
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,12,indexed_then_traversal,indexed,bytes_read,lane_metric,workflow_lane,core,lane_reported_total,workflow_actor,0,10,observer_workload_syscalls,observer_process,core,workflow_actor,0,0,raw/contest/sample-12-qemu.serial.txt,2,0.0,0.0,0.0
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,12,indexed_then_traversal,indexed,directory_block_probes,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,3266,10,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-12-qemu.serial.txt,2,326.6,326600.0,1633.0
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,12,indexed_then_traversal,indexed,directory_entries_examined,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,196802,10,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-12-qemu.serial.txt,2,19680.2,19680200.0,98401.0
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,12,indexed_then_traversal,indexed,physical_reads,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,66,10,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-12-qemu.serial.txt,2,6.6,6600.0,33.0
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,12,indexed_then_traversal,indexed,physical_writes,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,225,10,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-12-qemu.serial.txt,2,22.5,22500.0,112.5
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,12,indexed_then_traversal,indexed,durable_flushes,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,48,10,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-12-qemu.serial.txt,2,4.8,4800.0,24.0
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,12,indexed_then_traversal,indexed,virtio_notifications,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,173,10,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-12-qemu.serial.txt,2,17.3,17300.0,86.5
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,12,indexed_then_traversal,indexed,virtio_submitted_requests,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,339,10,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-12-qemu.serial.txt,2,33.9,33900.0,169.5
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,12,indexed_then_traversal,indexed,virtio_batched_read_requests,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,0,10,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-12-qemu.serial.txt,2,0.0,0.0,0.0
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,12,indexed_then_traversal,indexed,overwrite_prereads_skipped,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,97,10,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-12-qemu.serial.txt,2,9.7,9700.0,48.5
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,13,traversal_then_indexed,traversal,bytes_read,lane_metric,workflow_lane,core,lane_reported_total,workflow_actor,7811,298,observer_workload_syscalls,observer_process,core,workflow_actor,0,0,raw/contest/sample-13-qemu.serial.txt,97,26.211409396,26211.409395973,80.525773196
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,13,traversal_then_indexed,traversal,directory_block_probes,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,3266,298,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-13-qemu.serial.txt,97,10.959731544,10959.731543624,33.670103093
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,13,traversal_then_indexed,traversal,directory_entries_examined,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,196802,298,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-13-qemu.serial.txt,97,660.409395973,660409.395973154,2028.886597938
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,13,traversal_then_indexed,traversal,physical_reads,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,150,298,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-13-qemu.serial.txt,97,0.503355705,503.355704698,1.546391753
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,13,traversal_then_indexed,traversal,physical_writes,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,211,298,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-13-qemu.serial.txt,97,0.708053691,708.053691275,2.175257732
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,13,traversal_then_indexed,traversal,durable_flushes,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,47,298,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-13-qemu.serial.txt,97,0.157718121,157.718120805,0.484536082
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,13,traversal_then_indexed,traversal,virtio_notifications,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,254,298,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-13-qemu.serial.txt,97,0.852348993,852.348993289,2.618556701
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,13,traversal_then_indexed,traversal,virtio_submitted_requests,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,408,298,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-13-qemu.serial.txt,97,1.369127517,1369.127516779,4.206185567
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,13,traversal_then_indexed,traversal,virtio_batched_read_requests,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,0,298,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-13-qemu.serial.txt,97,0.0,0.0,0.0
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,13,traversal_then_indexed,traversal,overwrite_prereads_skipped,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,97,298,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-13-qemu.serial.txt,97,0.325503356,325.503355705,1.0
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,13,traversal_then_indexed,indexed,bytes_read,lane_metric,workflow_lane,core,lane_reported_total,workflow_actor,0,10,observer_workload_syscalls,observer_process,core,workflow_actor,0,0,raw/contest/sample-13-qemu.serial.txt,2,0.0,0.0,0.0
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,13,traversal_then_indexed,indexed,directory_block_probes,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,3266,10,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-13-qemu.serial.txt,2,326.6,326600.0,1633.0
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,13,traversal_then_indexed,indexed,directory_entries_examined,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,196802,10,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-13-qemu.serial.txt,2,19680.2,19680200.0,98401.0
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,13,traversal_then_indexed,indexed,physical_reads,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,58,10,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-13-qemu.serial.txt,2,5.8,5800.0,29.0
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,13,traversal_then_indexed,indexed,physical_writes,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,226,10,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-13-qemu.serial.txt,2,22.6,22600.0,113.0
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,13,traversal_then_indexed,indexed,durable_flushes,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,48,10,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-13-qemu.serial.txt,2,4.8,4800.0,24.0
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,13,traversal_then_indexed,indexed,virtio_notifications,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,164,10,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-13-qemu.serial.txt,2,16.4,16400.0,82.0
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,13,traversal_then_indexed,indexed,virtio_submitted_requests,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,332,10,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-13-qemu.serial.txt,2,33.2,33200.0,166.0
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,13,traversal_then_indexed,indexed,virtio_batched_read_requests,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,0,10,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-13-qemu.serial.txt,2,0.0,0.0,0.0
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,13,traversal_then_indexed,indexed,overwrite_prereads_skipped,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,82,10,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-13-qemu.serial.txt,2,8.2,8200.0,41.0
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,14,indexed_then_traversal,traversal,bytes_read,lane_metric,workflow_lane,core,lane_reported_total,workflow_actor,7811,298,observer_workload_syscalls,observer_process,core,workflow_actor,0,0,raw/contest/sample-14-qemu.serial.txt,97,26.211409396,26211.409395973,80.525773196
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,14,indexed_then_traversal,traversal,directory_block_probes,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,3266,298,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-14-qemu.serial.txt,97,10.959731544,10959.731543624,33.670103093
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,14,indexed_then_traversal,traversal,directory_entries_examined,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,196802,298,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-14-qemu.serial.txt,97,660.409395973,660409.395973154,2028.886597938
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,14,indexed_then_traversal,traversal,physical_reads,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,138,298,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-14-qemu.serial.txt,97,0.463087248,463.087248322,1.422680412
agentos-advanced-figures-20260811,raw/contest/measurements.csv,4a51307899074b0f52fba6d3088eab29209d5054b988c6faecb678bdba6d1665,15,14,indexed_then_traversal,traversal,physical_writes,mechanism_end_to_end,global_kernel,end_to_end,delta,shared_kernel_not_process_attributed,213,298,observer_workload_syscalls,observer_process,core,workflow_actor,1,1,raw/contest/sample-14-qemu.serial.txt,97,0.714765101,714.765100671,2.195876289
